criticality_rank,nearest_pharmacy_id,n_grid_squares,population_served,mean_dist_to_1st_km,mean_dist_to_2nd_km,mean_extra_distance_km,max_extra_distance_km,person_km_impact,namn,kommun,lan,lat,long
168,756,189,2467,17.54772952370058,40.867544969252165,23.319815445551594,37.173912977936,57529.98470417578,Kronans Apotek Likenäs,Torsby kommun,Värmlands,60.61199880754897,13.045791502245025
169,272,128,4563,7.3633397340080435,19.890371198091692,12.527031464083645,19.376506002564287,57160.84457061368,"Apoteksgruppen Järpen, Gastkullevägen",Åre kommun,Jämtlands,63.346928059292935,13.45972513678637
170,240,90,15657,2.9167406067219623,6.560727932870649,3.6439873261486873,6.200489011043929,57053.909565509995,Apoteket Landvetter,Härryda kommun,Västra Götalands,57.686893998624356,12.21099934918619
171,804,185,5942,5.947692227951144,15.4597247446166,9.512032516665457,13.242575841592588,56520.497214026145,Kronans Apotek Sävar,Umeå kommun,Västerbottens,63.90110286814028,20.54995554911856
172,573,205,6124,5.572892335087936,14.80189741005372,9.229005074965784,14.84615124752515,56518.427079090456,Apoteket Svanen,Örebro kommun,Örebro,59.15674305513717,15.525523408394422
173,246,337,6526,8.534657152237264,17.171612887881757,8.636955735644491,15.389954275011387,56364.77313081595,"Apoteksgruppen Romakloster, Visbyvägen",Gotlands kommun,Gotlands,57.505403695797646,18.455526724285022
174,153,207,3087,14.329502959625462,32.437747892756065,18.108244933130603,30.613605338337923,55900.15210857418,Apotek Hjärtat Centrumhuset Ramsele,Sollefteå kommun,Västernorrlands,63.53763650260945,16.471111219741665
175,449,88,3502,4.492546138412067,20.42417090309983,15.931624764687767,18.146067708428152,55792.54992593656,Apoteket Mården,Gävle kommun,Gävleborgs,60.92850817693044,17.04236827084514
176,277,211,3897,6.901197880936642,21.07828678111909,14.177088900182447,20.682314492804142,55248.115444011,Apoteket Foxen,Årjängs kommun,Värmlands,59.50622724727232,11.845203853304094
177,616,56,9309,2.2904964963184007,8.213889540550394,5.923393044231992,8.888536306910819,55140.86584875562,Apoteket Tärnan,Skellefteå kommun,Västerbottens,64.69917113597977,21.189086188312462
178,1206,261,10071,4.786531689722835,10.259429716399241,5.472898026676406,10.821118104283062,55117.55602665809,Kronans Apotek Depot Mantorp,Mjölby kommun,Östergötlands,58.366117181453824,15.29450694365163
179,313,206,4353,5.793147885955009,18.261261290533362,12.468113404578355,21.018286046384624,54273.69765012958,"Apoteksgruppen Storfors, Hälsans hus",Storfors kommun,Värmlands,59.53199619043183,14.276892995723532
180,665,299,4478,15.397391791221311,27.39959493359856,12.00220314237725,23.94169897184291,53745.86567156532,Apoteket Änge,Krokoms kommun,Jämtlands,63.45779887917554,14.068805634948406
181,357,138,7902,4.115806333682058,10.901916006872842,6.786109673190783,9.511727371125255,53623.83863755356,"Apoteksgruppen Mönsterås, Häradshövdingegatan",Mönsterås kommun,Kalmar,57.040901151070344,16.444496148098846
182,663,186,4681,10.300622305404861,21.748121546585192,11.44749924118033,19.77978056051351,53585.74394796512,"Apoteksgruppen Lenhovda, Storgatan",Uppvidinge kommun,Kronobergs,56.99669727317254,15.287392485385391
183,119,215,10125,6.4489148619481105,11.649036322139082,5.200121460190971,9.87515871572865,52651.22978443358,Apotek Hjärtat Ljungbyholm,Kalmar kommun,Kalmar,56.63383732514771,16.174163485772194
184,623,266,4813,5.669807478794161,16.45606480838849,10.78625732959433,15.585583902898732,51914.25652733751,"Apoteksgruppen Molkom, Skolgatan",Karlstads kommun,Värmlands,59.59991898161056,13.722387674317313
185,866,202,8055,5.237750398642248,11.673858923922408,6.43610852528016,12.797016242683268,51842.85417113169,Apoteket Duvan,Sandvikens kommun,Gävleborgs,60.58319635996064,16.530506859497486
186,326,91,12880,1.801703033023473,5.807575652079152,4.00587261905568,5.7125823325779255,51595.63933343715,"Apoteksgruppen Åstorp, Storgatan",Åstorps kommun,Skåne,56.13473251752813,12.948866600355819
187,508,258,9052,4.876832564887115,10.543584328538069,5.666751763650953,7.0698445678939335,51295.43696456843,Apoteket Orren,Grums kommun,Värmlands,59.35335092098735,13.112461235672432
